,scores
1231,0
1232,1
1233,0
1234,1
1235,2
1236,0
1237,0
1238,1
1239,0
1240,1
1241,0
1242,2
1243,0
1244,1
1245,1
1246,0
1247,0
1248,3
1249,1
1250,1
1251,2
1252,1
1253,0
1254,0
1255,0
1256,1
1257,1
1258,1
1259,2
1260,2
1261,1
1262,1
1263,0
1264,1
1265,2
1266,0
1267,1
1268,3
1269,0
1270,0
1271,1
1272,0
1273,1
1274,0
1275,2
1276,0
1277,0
1278,0
1279,2
1280,0
1281,2
1282,0
1283,1
1284,1
1285,0
1286,2
1287,2
1288,2
1289,1
1290,1
1291,1
1292,1
1293,1
1294,2
1295,0
1296,1
1297,1
1298,1
1299,2
1300,1
1301,1
1302,1
1303,0
1304,1
1305,1
1306,1
1307,0
1308,0
1309,2
1310,0
1311,0
1312,1
1313,0
1314,1
1315,3
1316,1
1317,1
1318,0
1319,0
1320,1
1321,1
1322,0
1323,2
1324,5
1325,0
1326,2
1327,0
1328,1
1329,1
1330,1
1331,0
1332,0
1333,0
1334,0
1335,2
1336,3
1337,1
1338,2
1339,2
1340,1
1341,0
1342,1
1343,0
1344,5
1345,0
1346,1
1347,4
1348,0
1349,0
1350,1
1351,0
1352,2
1353,1
1354,2
1355,1
1356,0
1357,1
1358,0
1359,1
1360,1
1361,0
1362,0
1363,1
1364,2
1365,0
1366,1
1367,0
1368,2
1369,2
1370,2
1371,1
1372,2
1373,0
1374,2
1375,3
1376,2
1377,0
1378,1
1379,0
1380,4
1381,1
1382,0
1383,1
1384,3
1385,1
1386,2
1387,1
1388,0
1389,2
1390,2
1391,0
1392,0
1393,1
1394,1
1395,1
1396,2
1397,0
1398,0
1399,1
